"","day","nitrate","pCO2_atmos","temp","dNO3","pCO2","DIC","slDON","slDOC","airseaFlux","BML_DIC","BML_NO3"
"1",1,12,397,4,0,397,1996.99356748184,0,0,0,1996.99356748184,12
"2",2,12,396.998957168286,4.00089385575490,0,397,1996.99356748184,0,0,0,1996.99356748184,12
"3",3,12,396.995828983858,4.00357515669358,0,396.999997094585,1996.99356594514,0,0,-0.153670145072107,1996.99356748184,12
"4",4,12,396.990616378763,4.00804310391726,0,396.99998548282,1996.99355980357,0,0,-0.614157346576868,1996.99356748184,12
"5",5,12,396.983320906109,4.01429636619251,0,396.99995938532,1996.99354600035,0,0,-1.38032186208859,1996.99356748184,12
"6",6,12,396.973944739594,4.02233308034784,0,396.999913047765,1996.99352149197,0,0,-2.45083808616186,1996.99356748184,12
"7",7,12,396.962490672866,4.03215085182884,0,396.999840744393,1996.99348325001,0,0,-3.82419607748085,1996.99356748184,12
"8",8,12,396.948962118686,4.04374675541168,0,396.999736781447,1996.99342826298,0,0,-5.49870329730638,1996.99356748184,12
"9",9,12,396.933363107913,4.05711733607462,0,396.999595500609,1996.99335353811,0,0,-7.47248655601341,1996.99356748184,12
"10",10,12,396.915698288301,4.07225861002752,0,396.999411282372,1996.99325610317,0,0,-9.74349416516734,1996.99356748184,12
"11",11,12,396.895972923118,4.08916606589876,0,396.999178549379,1996.99313300819,0,0,-12.3094982889602,1996.99356748184,12
"12",12,12,396.874192889574,4.10783466607942,0,396.99889176971,1996.99298132721,0,0,-15.1680974914982,1996.99356748184,12
"13",13,12,396.850364677072,4.12825884822427,0,396.998545460132,1996.99279816002,0,0,-18.3167194741439,1996.99356748184,12
"14",14,12,396.824495385273,4.15043252690906,0,396.998134189272,1996.99258063378,0,0,-21.7526240010372,1996.99356748184,12
"15",15,12,396.796592721982,4.17434909544369,0,396.997652580751,1996.99232590472,0,0,-25.4729060010276,1996.99356748184,12
"16",16,12,396.766665000853,4.20000142784068,0,396.997095316246,1996.99203115973,0,0,-29.4744988462044,1996.99356748184,12
"17",17,12,396.734721138905,4.2273818809384,0,396.996457138495,1996.99169361795,0,0,-33.7541777970932,1996.99356748184,12
"18",18,12,396.700770653875,4.25648229667831,0,396.995732854225,1996.99131053231,0,0,-38.3085636098272,1996.99356748184,12
