"","day","nitrate","pCO2_atmos","temp","dNO3","pCO2","DIC","slDON","slDOC","airseaFlux","BML_DIC","BML_NO3"
"1",1,12,397,4,0,397,1996.99356748184,0,0,0,1996.99356748184,12
"2",2,12,396.998957168286,4.00089385575490,0,397,1996.99356748184,0,0,0,1996.99356748184,12
"3",3,12,396.995828983858,4.00357515669358,0,396.999994990664,1996.99356483236,0,0,-0.264948525986391,1996.99356748184,12
"4",4,12,396.990616378763,4.00804310391726,0,396.999974980486,1996.99355424878,0,0,-1.05835748409171,1996.99356748184,12
"5",5,12,396.983320906109,4.01429636619251,0,396.999930035238,1996.99353047681,0,0,-2.37719756003663,1996.99356748184,12
"6",6,12,396.973944739594,4.02233308034784,0,396.999850283844,1996.99348829552,0,0,-4.2181290285189,1996.99356748184,12
"7",7,12,396.962490672866,4.03215085182884,0,396.999725924187,1996.99342252046,0,0,-6.57750554041504,1996.99356748184,12
"8",8,12,396.948962118686,4.04374675541168,0,396.999547228849,1996.99332800668,0,0,-9.4513782542187,1996.99356748184,12
"9",9,12,396.933363107913,4.05711733607462,0,396.999304550749,1996.99319965168,0,0,-12.8355003049684,1996.99356748184,12
"10",10,12,396.915698288301,4.07225861002752,0,396.998988328709,1996.99303239836,0,0,-16.7253315953745,1996.99356748184,12
"11",11,12,396.895972923118,4.08916606589876,0,396.998589092922,1996.99282123792,0,0,-21.116043907497,1996.99356748184,12
"12",12,12,396.874192889574,4.10783466607942,0,396.998097470327,1996.99256121266,0,0,-26.0025263222101,1996.99356748184,12
"13",13,12,396.850364677072,4.12825884822427,0,396.997504189859,1996.99224741875,0,0,-31.3793909354618,1996.99356748184,12
"14",14,12,396.824495385273,4.15043252690906,0,396.996800087607,1996.99187500896,0,0,-37.2409788590044,1996.99356748184,12
"15",15,12,396.796592721982,4.17434909544369,0,396.995976111853,1996.99143919530,0,0,-43.5813664979031,1996.99356748184,12
"16",16,12,396.766665000853,4.20000142784068,0,396.995023327972,1996.99093525158,0,0,-50.3943720926419,1996.99356748184,12
"17",17,12,396.734721138905,4.2273818809384,0,396.993932923234,1996.99035851595,0,0,-57.6735625070605,1996.99356748184,12
"18",18,12,396.700770653875,4.25648229667831,0,396.992696211448,1996.98970439335,0,0,-65.4122602607754,1996.99356748184,12
